# frame vad | vadreg pitch tone complex_high complex_low stat burst hang | bckr_est[9]
71 0 | 0 0 32767 0 0 20 0 0 | 62 40 40 40 40 40 40 40 40
72 0 | 0 0 32767 0 0 20 0 0 | 64 40 40 40 40 40 40 40 40
73 0 | 0 0 16383 0 0 20 0 0 | 61 40 40 40 40 40 40 40 40
74 0 | 0 0 8191 0 0 20 0 0 | 57 40 40 40 40 40 40 40 40
75 0 | 0 0 26623 0 0 20 0 0 | 54 42 40 40 42 40 40 40 40
76 0 | 0 0 29695 0 0 20 0 0 | 51 40 40 40 40 40 40 40 40
77 0 | 0 0 31231 0 0 20 0 0 | 49 40 40 40 40 40 40 40 40
78 0 | 0 0 32383 0 0 20 0 0 | 51 40 40 40 40 40 40 40 40
79 0 | 0 0 32575 0 0 20 0 0 | 53 40 40 40 40 40 40 40 40
80 0 | 0 0 32671 0 0 20 0 0 | 51 40 40 40 42 40 40 40 40
81 0 | 0 0 32743 0 0 20 0 0 | 49 40 40 40 40 40 40 40 40
82 0 | 0 0 32755 0 0 20 0 0 | 51 40 40 40 40 40 40 40 40
83 0 | 0 0 32761 0 0 20 0 0 | 54 40 40 40 40 40 40 40 40
84 0 | 0 0 32766 0 0 20 0 0 | 56 40 40 40 40 40 40 40 40
85 0 | 0 0 32767 0 0 20 0 0 | 59 40 40 40 40 40 40 40 40
86 0 | 0 0 32767 0 0 20 0 0 | 56 40 40 40 42 40 40 40 40
87 0 | 0 0 32767 0 0 20 0 0 | 58 42 40 40 44 40 40 40 40
88 0 | 0 0 32767 0 0 20 0 0 | 55 40 40 40 41 40 40 40 40
89 0 | 0 0 32767 0 0 20 0 0 | 58 40 40 40 40 40 40 40 40
90 0 | 0 0 32767 0 0 20 0 0 | 55 40 40 40 40 40 40 40 40
91 0 | 0 0 32767 0 0 20 0 0 | 53 40 40 40 40 40 42 40 40
92 0 | 0 0 32767 0 0 20 0 0 | 55 40 40 40 40 40 40 40 40
93 0 | 0 0 32767 0 0 20 0 0 | 52 40 40 40 40 40 40 40 40
94 0 | 0 0 32767 0 0 20 0 0 | 49 42 40 40 40 40 40 40 40
95 0 | 0 0 32767 0 0 20 0 0 | 47 40 40 40 40 42 40 40 40
96 0 | 0 0 32767 0 0 20 0 0 | 45 40 40 40 40 40 40 40 40
97 0 | 0 0 32767 0 0 20 0 0 | 43 40 40 40 42 40 40 40 40
98 0 | 0 0 32767 0 0 20 0 0 | 46 40 40 40 40 40 40 40 40
99 0 | 0 0 32767 0 0 20 0 0 | 43 40 40 40 40 42 40 40 40
100 0 | 0 0 32767 0 0 20 0 0 | 45 40 40 40 40 40 40 40 40
101 0 | 0 0 32767 0 0 20 0 0 | 43 40 40 40 40 40 40 40 40
102 0 | 0 0 32767 0 0 20 0 0 | 41 40 40 40 40 40 40 40 40
103 0 | 0 0 32767 0 0 20 0 0 | 40 40 40 40 40 40 40 40 40
104 0 | 0 0 32767 0 0 20 0 0 | 43 42 40 40 40 40 40 40 40
105 0 | 0 0 32767 0 0 20 0 0 | 47 40 40 40 40 40 40 40 40
106 0 | 0 0 32767 0 0 20 0 0 | 49 40 40 40 40 40 40 42 40
107 0 | 0 0 32767 0 0 20 0 0 | 52 40 40 40 40 40 40 40 40
108 0 | 0 0 32767 0 0 20 0 0 | 54 42 40 40 40 40 40 40 40
